Kai Cenat - Going Professional,"Production Company: Black Screen Productions Inc
Director: Michael Daniel, Lachlan McClellan
Executive Producers: Monique Carrillo Michael Daniel
DP: Jonathan Charles

Apollo:
Editor: Griffin Olis"
Under Armour - Men's Unstoppable Collection ,"Production Company: Parallel Studios
Director: Michael Kelly
Executive Producers: Tony Pillow Simon Chasalow
Lead Producer: Amanda Jones

Apollo:
Head of Post: Alex Peterson
Post Supervisor: Chris Carson
Editor: Griffin Olis
Music: Jile
Sound Design: Ayo Douson"
Kai Cenat x iShowSpeed,"Production Company: Black Screen Productions Inc
Director: Michael Daniel, Lachlan McClellan
Executive Producers: Monique Carrillo, Michael Daniel
DP: Jonathan Charles

Apollo:
Editor: Griffin Olis"
MLS & Apple TV - Beyond the Pitch - Episode 2,"Production Company: Parallel Studios
Director: Don Newkirk Jr.
Executive Producers: Alex Peterson, Nate Loucks
Media Company: Boardroom

Apollo:
Post Supervisor: Alex Peterson 
Editor: Griffin Olis "
MLS & Apple TV - Beyond the Pitch- Episode 4,"Production Company: Parallel Studios
Director: Don Newkirk Jr.
Executive Producers: Alex Peterson, Nate Loucks
Media Company: Boardroom

Apollo:
Post Supervisor: Alex Peterson 
Editor: Griffin Olis "
