,
Bodega x New Balance,"Agency + Production: drinkadmilk
Director: Tristan Kim
EP: Alex Majher
Producer: Kevin Wall

Apollo:
Editor: Devon Solwold"
"Bodega x G Shock - Anytime, Anywhere","Agency: drinkadmilk
Director: Michael B Janey
DP: Kai Dickson 

Apollo:
Edit & Sound Design: Devon Solwold "
OKEM - Short Film,"Production:
Director - Joshua Okwuosa
DP - Kai Dickson
Producer - Elizabeth Kraushaar

Apollo:
Editor: Devon Solwold"
Eem Triplin - What Da Opp Said,"Production Company: Parallel Studios
Director: Michael Kelly
Executive Producers: Tony Pillow, Simon Chasalow, Lucas Alexander
Producer: Nour Sayeh

Apollo:
Post Supervisor: Alex Peterson
Edit & Sound Design: Devon Solwold
VFX: Ben Gillespie"
$NOT Ft. Zilla Kami - 0 PERCENT,"Production Company: Paperwork
Director: JMP-James Pereira
EP: Joey Szela
DP: Joel Wolt

Apollo:
Head of Post: Alex Peterson
Post Supervisor: Chris Carson
Editor: Devon Solwold & JMP
Sound Design: Devon Solwold
VFX: Auraj Raj"
Run that Shit! Short Film,"EXECUTIVE PRODUCERS - Tristan Kim, Harrison Kracht
DIRECTOR - Tristan Kim
WRITTEN BY - Tristan Kim, Will Allyn Robinson
DP - Harrison Kracht

Edit, Sound, VFX: Devon Solwold"
PURPLE DENIM - Daytrippin,"Studio: drinkadmilk
Producer: Alex Majher

Apollo:
Edit, Sound, VFX: Devon Solwold"
OnJuno Banking - Granny,"Agency + Production: drinkadmilk
Director: Tristan Kim
EP: Alex Majher
Producer: Kevin Wall

Apollo:
Editor: Devon Solwold"
