RFM Jeans,"Director: SOFIA CRISTINA ALVAREZ
Producer: MARLYN RODRIGUEZ

Editor: LIAM TANGUM"
Brooks - Sounds of Trail Running,"Production: Stept Studios
DP: Nash Howe Head of Post: Connor Scofield

Editor: Liam Tangum"
Bevel - Kyle Pitts,"Director / DP: FRANKLIN RICART
Produced by: The Kitchen Table

Head of Post: Alex Peterson 
Post Supervisor: Nasser Boulaich
Editor: Liam Tangum
Colorist: Brian Charles"
Nowness - Short Documentary,"Director: Leo Pfeifer
Production Company: Alto Visuals

Editor: Liam Tangum"
A Slice of Paradise - Short Film,"Director: Liam Tangum
Executive Producers: No Laying Up

Editors: Liam Tangum & Lindsay Wilkins"
