NFLPA - Rookie of the Year 2023,"Production company: OM Digital
EP: Dave Clark
Director: Julia Pitch
Producer: Sofie rhw

Apollo:
Editor: Zack Pelletier"
NHL - Hockey is Back,"Prod. Company: Kursza
Director: James Winterhalter
DP: Cinesthetics
Producer: Joseph Larkin

Apollo:
Editor: Zack Pelletier"
7uice x Vanson Leathers ,"Production Company: Parallel Studios
Director: Drew Cigna, & Medulla Media
EP: Simon Chasalow & Tony Pillow
DP: Thomas Marchese

Apollo:
Editor: ZACK PELLETIER"
Chris Brown - Nightmares,"PRODUCTION COMPANY : Projektstu
DIRECTOR : Travis Colbert
DP: Henri Taillon

Apollo:
EDITORS: Zack Pelletier & Henri Taillon & Travis Colbert
Colorist: Thomas Dauteuille"
Louis the Child - How High,"Production Company: Parallel Studios 
Director: Drew Cigna
Executive Producer: Simon Chasalow & Tony Pillow
DP: Owen Schatz  Drew Cigna

Apollo:
Post Supervisor: Alex Peterson 
Editor: Zack Pelletier"
